Destination;Country
Albania;Albania
Andorra;Andorra
Vienna;Austria
Salzburg Region;Austria
Tyrol;Austria
Brussels;Belgium
Bruges;Belgium
Ghent;Belgium
Antwerp;Belgium
Ardennes;Belgium
Bosnia and Herzegovina;Bosnia and Herzegovina
Bulgaria;Bulgaria
Dalmatian Coast;Croatia
Istria;Croatia
Zagreb;Croatia
Copenhagen;Denmark
Jutland;Denmark
Tallinn;Estonia
Helsinki;Finland
Lapland;Finland
Paris;France
Nouvelle-Aquitaine;France
Corsica;France
Lyon;France
French Alps;France
Provence-Alpes-Côte d'Azur;France
Normandy;France
Brittany;France
Monaco;Monaco
Berlin;Germany
Bavaria;Germany
North Rhine-Westphalia;Germany
Hamburg;Germany
Saxony;Germany
Baden-Württemberg;Germany
Athens;Greece
Santorini;Greece
Crete;Greece
Mykonos;Greece
Rhodes;Greece
Peloponnese;Greece
Thessaly;Greece
Thessaloniki;Greece
Budapest;Hungary
Iceland;Iceland
Dublin;Ireland
Munster;Ireland
Rome;Italy
Tuscany;Italy
Venice;Italy
Lombardy;Italy
Campania;Italy
Sicily;Italy
Dolomites and Italian Alps;Italy
Sardinia;Italy
Riga;Latvia
Liechtenstein;Liechtenstein
Lithuania;Lithuania
Luxembourg;Luxembourg
Malta;Malta
Moldova;Moldova
Montenegro;Montenegro
South Holland;Netherlands
North Holland;Netherlands
North Macedonia;North Macedonia
Northern Norway;Norway
Oslo;Norway
Gdansk;Poland
Warsaw;Poland
Lesser Poland;Poland
Azores;Portugal
Madeira;Portugal
Porto;Portugal
Lisbon;Portugal
Romania;Romania
Serbia;Serbia
Bratislava;Slovakia
Slovenia;Slovenia
Madrid;Spain
Barcelona;Spain
Andalusia;Spain
Basque Country;Spain
Canary Islands;Spain
Balearic Islands;Spain
Stockholm;Sweden
Zurich;Switzerland
Lucerne & Central Switzerland;Switzerland
Bernese Alps;Switzerland
Geneva;Switzerland
Swiss Alps & Graubünden;Switzerland
Istanbul;Turkey
London;United Kingdom
Manchester;United Kingdom
Liverpool;United Kingdom
West Midlands;United Kingdom
Cornwall;United Kingdom
Northern Ireland;United Kingdom
Edinburgh;United Kingdom
Glasgow;United Kingdom
Wales;United Kingdom
Prague;Czechia
Central Bohemia;Czechia
South Bohemia;Czechia
Moravia;Czechia
